1BoundingBox(left=130000.0, bottom=218000.0, right=131000.0, top=219000.0)
2BoundingBox(left=130000.0, bottom=217000.0, right=131000.0, top=218000.0)
3BoundingBox(left=130000.0, bottom=216000.0, right=131000.0, top=217000.0)
4BoundingBox(left=130000.0, bottom=215000.0, right=131000.0, top=216000.0)
5BoundingBox(left=130000.0, bottom=214000.0, right=131000.0, top=215000.0)
6BoundingBox(left=130000.0, bottom=213000.0, right=131000.0, top=214000.0)
7BoundingBox(left=130000.0, bottom=212000.0, right=131000.0, top=213000.0)
8BoundingBox(left=130000.0, bottom=211000.0, right=131000.0, top=212000.0)
9BoundingBox(left=130000.0, bottom=210000.0, right=131000.0, top=211000.0)
10BoundingBox(left=130000.0, bottom=209000.0, right=131000.0, top=210000.0)
11BoundingBox(left=130000.0, bottom=208000.0, right=131000.0, top=209000.0)
12BoundingBox(left=130000.0, bottom=207000.0, right=131000.0, top=208000.0)
13BoundingBox(left=130000.0, bottom=206000.0, right=131000.0, top=207000.0)
14BoundingBox(left=130000.0, bottom=205000.0, right=131000.0, top=206000.0)
15BoundingBox(left=130000.0, bottom=204000.0, right=131000.0, top=205000.0)
16BoundingBox(left=130000.0, bottom=203000.0, right=131000.0, top=204000.0)
17BoundingBox(left=130000.0, bottom=202000.0, right=131000.0, top=203000.0)
18BoundingBox(left=130000.0, bottom=201000.0, right=131000.0, top=202000.0)
19BoundingBox(left=130000.0, bottom=200000.0, right=131000.0, top=201000.0)
20BoundingBox(left=130000.0, bottom=199000.0, right=131000.0, top=200000.0)
21BoundingBox(left=131000.0, bottom=218000.0, right=132000.0, top=219000.0)
22BoundingBox(left=131000.0, bottom=217000.0, right=132000.0, top=218000.0)
23BoundingBox(left=131000.0, bottom=216000.0, right=132000.0, top=217000.0)
24BoundingBox(left=131000.0, bottom=215000.0, right=132000.0, top=216000.0)
25BoundingBox(left=131000.0, bottom=214000.0, right=132000.0, top=215000.0)
26BoundingBox(left=131000.0, bottom=213000.0, right=132000.0, top=214000.0)
27BoundingBox(left=131000.0, bottom=212000.0, right=132000.0, top=213000.0)
28BoundingBox(left=131000.0, bottom=211000.0, right=132000.0, top=212000.0)
29BoundingBox(left=131000.0, bottom=210000.0, right=132000.0, top=211000.0)
30BoundingBox(left=131000.0, bottom=209000.0, right=132000.0, top=210000.0)
31BoundingBox(left=131000.0, bottom=208000.0, right=132000.0, top=209000.0)
32BoundingBox(left=131000.0, bottom=207000.0, right=132000.0, top=208000.0)
33BoundingBox(left=131000.0, bottom=206000.0, right=132000.0, top=207000.0)
34BoundingBox(left=131000.0, bottom=205000.0, right=132000.0, top=206000.0)
35BoundingBox(left=131000.0, bottom=204000.0, right=132000.0, top=205000.0)
36BoundingBox(left=131000.0, bottom=203000.0, right=132000.0, top=204000.0)
37BoundingBox(left=131000.0, bottom=202000.0, right=132000.0, top=203000.0)
38BoundingBox(left=131000.0, bottom=201000.0, right=132000.0, top=202000.0)
39BoundingBox(left=131000.0, bottom=200000.0, right=132000.0, top=201000.0)
40BoundingBox(left=131000.0, bottom=199000.0, right=132000.0, top=200000.0)
41BoundingBox(left=132000.0, bottom=218000.0, right=133000.0, top=219000.0)
42BoundingBox(left=132000.0, bottom=217000.0, right=133000.0, top=218000.0)
43BoundingBox(left=132000.0, bottom=216000.0, right=133000.0, top=217000.0)
44BoundingBox(left=132000.0, bottom=215000.0, right=133000.0, top=216000.0)
45BoundingBox(left=132000.0, bottom=214000.0, right=133000.0, top=215000.0)
46BoundingBox(left=132000.0, bottom=213000.0, right=133000.0, top=214000.0)
47BoundingBox(left=132000.0, bottom=212000.0, right=133000.0, top=213000.0)
48BoundingBox(left=132000.0, bottom=211000.0, right=133000.0, top=212000.0)
49BoundingBox(left=132000.0, bottom=210000.0, right=133000.0, top=211000.0)
50BoundingBox(left=132000.0, bottom=209000.0, right=133000.0, top=210000.0)
51BoundingBox(left=132000.0, bottom=208000.0, right=133000.0, top=209000.0)
52BoundingBox(left=132000.0, bottom=207000.0, right=133000.0, top=208000.0)
53BoundingBox(left=132000.0, bottom=206000.0, right=133000.0, top=207000.0)
54BoundingBox(left=132000.0, bottom=205000.0, right=133000.0, top=206000.0)
55BoundingBox(left=132000.0, bottom=204000.0, right=133000.0, top=205000.0)
56BoundingBox(left=132000.0, bottom=203000.0, right=133000.0, top=204000.0)
57BoundingBox(left=132000.0, bottom=202000.0, right=133000.0, top=203000.0)
58BoundingBox(left=132000.0, bottom=201000.0, right=133000.0, top=202000.0)
59BoundingBox(left=132000.0, bottom=200000.0, right=133000.0, top=201000.0)
60BoundingBox(left=132000.0, bottom=199000.0, right=133000.0, top=200000.0)
61BoundingBox(left=133000.0, bottom=218000.0, right=134000.0, top=219000.0)
62BoundingBox(left=133000.0, bottom=217000.0, right=134000.0, top=218000.0)
